"ACFN","Acorn Energy Inc","--","--","--","--","--"
"ACIA","Acacia Communications","1","C","9","--","--"
"ACTA","Actua Corp","--","--","--","--","--"
"AEHR","AEHR Test Systems","--","--","--","--","--"
"AGYS","Agilysys Inc","--","--","--","--","--"
"AIXNY","Aixtron SE","--","--","--","--","--"
"AMBR","Amber Road Inc","--","--","--","--","--"
"AMRH","Ameri Holdings Inc","--","--","--","--","--"
"ANGI","Angie's List","--","--","--","--","--"
"APPF","AppFolio Inc","--","--","--","--","--"
"APTI","Apptio","1","C","9","--","--"
"ASTI","Ascent Solar Technologies Inc","--","--","--","--","--"
"ASUR","Asure Software Inc","--","--","--","--","--"
"ASYS","Amtech Systems Inc","--","--","--","--","--"
"ATEN","A10 Networks, Inc.","1","C","9","--","--"
"ATOM","Atomera Inc","--","--","--","--","--"
"AVID","Avid Technology Inc","--","--","--","--","--"
"AVNW","Aviat Networks Inc","--","--","--","--","--"
"AYX","Alteryx Inc","--","--","--","--","--"
"BBOX","Black Box Corp","--","--","--","--","--"
"BCOR","Blucora Inc","--","--","--","--","4"
"BCOV","Brightcove Inc","--","--","--","--","--"
"BELFB","Bel Fuse Inc","--","--","--","--","--"
"BITA","Bitauto","1","C","9","--","--"
"BL","Blackline Inc","--","--","--","--","--"
"BLIN","Bridgeline Digital Inc","--","--","--","--","--"
"BNFT","Benefitfocus Inc","--","--","--","--","--"
"BOX","Box","1","B","9","--","--"
"BSFT","BroadSoft Inc","--","--","--","--","--"
"BSQR","Bsquare Corp","--","--","--","--","--"
"BV","Bazaarvoice Inc","--","--","--","--","--"
"BVSN","BroadVision Inc","--","--","--","--","--"
"CALD","Callidus Software Inc","--","--","--","--","--"
"CALX","Calix Inc","--","--","--","3","--"
"CAMP","CalAmp Corp","--","--","--","--","--"
"CARB","Carbonite Inc","--","--","--","--","--"
"CAVM","Cavium","1","B","9","3","3"
"CBAK","CBAK Energy Technology Inc","--","--","--","--","--"
"CBRIQ","Ciber Inc","--","--","--","--","--"
"CCIH","ChinaCache International Holdings Ltd","--","--","--","--","--"
"CCUR","Concurrent Computer Corp","--","--","--","--","--"
"CDRB","Code Rebel Corp","--","--","--","--","--"
"CLDR","Cloudera Inc","--","--","--","--","--"
"CLIR","ClearSign Combustion Corp","--","--","--","--","--"
"CLOK","Cipherloc Corp","--","--","--","--","--"
"CMCM","Cheetah Mobile Inc","--","--","--","--","--"
"CMTL","Comtech Telecommunications Corp","--","--","--","--","--"
"CNDT","Conduent Inc","--","--","--","--","--"
"CNIT","China Information Technology Inc","--","--","--","--","--"
"CNTF","China Techfaith Wireless Communication Technology Ltd","--","--","--","--","--"
"COOL","Polarityte Inc","--","--","--","--","--"
"COUP","Coupa Software Inc","--","--","--","--","--"
"COVS","Covisint Corp","--","--","--","--","--"
"CPAH","CounterPath Corp","--","--","--","--","--"
"CRAY","Cray Inc","--","--","--","--","--"
"CRCM","Care.com","3","C","9","--","--"
"CRDS","Crossroads Systems Inc","--","--","--","--","--"
"CREE","CREE","2","C","9","--","3"
"CRTN","Cartesian Inc","--","--","--","--","--"
"CSIQ","Canadian Solar Inc","--","--","--","--","--"
"CSOD","Cornerstone OnDemand, Inc.","2","B","9","--","--"
"CSUNY","China Sunergy Co Ltd","--","--","--","--","--"
"CTG","Computer Task Group Inc","--","--","--","--","--"
"CUI","CUI Global Inc","--","--","--","--","--"
"CVV","CVD Equipment Corp","--","--","--","--","--"
"CY","Cypress Semiconductor","1","B","7","3","4"
"CYOU","Changyou.com Limited","3","C","9","--","--"
"DATA","Tableau Software, Inc.","1","C","9","3","--"
"DBD","Diebold Nixdorf Inc","--","--","--","--","3"
"DDD","3D Systems Corporation","1","C","9","3","3"
"DGLT","Digiliti Money Group Inc","--","--","--","--","--"
"DGLY","Digital Ally Inc","--","--","--","--","--"
"DHX","DHI Group Inc","--","--","--","--","--"
"DMRC","Digimarc Corp","--","--","--","--","--"
"DQ","Daqo New Energy Corp","--","--","--","--","--"
"DRAM","Dataram Corp","--","--","--","--","--"
"DST","DST Systems","1","B","7","--","--"
"DTRM","Determine Inc","--","--","--","--","--"
"DWCH","Datawatch Corp","--","--","--","--","--"
"DYSL","Dynasil Corporation of America","--","--","--","--","--"
"ECOM","ChannelAdvisor Corp","--","--","--","--","--"
"EDGW","Edgewater Technology Inc","--","--","--","--","--"
"EGAN","eGain Corp","--","--","--","--","--"
"EGHT","EGHT","1","C","9","--","--"
"EIGI","Endurance International Group Holdings Inc","--","--","--","--","--"
"ELON","Echelon Corp","--","--","--","--","--"
"ENOC","EnerNOC Inc","--","--","--","--","--"
"ENV","Envestnet Inc","--","--","--","--","--"
"EPAY","Bottomline Technologies (DE) Inc","--","--","--","--","--"
"ESIO","Electro Scientific Industries Inc","--","--","--","--","--"
"EVRI","Everi Holdings Inc","--","--","--","--","--"
"EXA","Exa Corp","--","--","--","--","--"
"EXAR","Exar Corp","--","--","--","--","--"
"EXTR","Extreme Networks Inc","--","--","--","--","--"
"FALC","FalconStor Software Inc","--","--","--","--","--"
"FEYE","FireEye Inc.","1","C","9","2","3"
"FIT","Fitbit","3","C","9","--","4"
"FIVN","Five9, Inc","3","C","9","--","--"
"FNJN","Finjan Holdings Inc","--","--","--","--","--"
"FORTY","Formula Systems 1985 Ltd","--","--","--","--","--"
"FRTN","Fortran Corp","--","--","--","--","--"
"FSLR","First Solar, Inc.","1","C","9","3","3"
"FTEO","FRONTEO Inc","--","--","--","--","--"
"FUEL","Rocket Fuel Inc","--","--","--","--","--"
"GIGA","Giga-tronics Inc","--","--","--","--","--"
"GLA","Glassbridge Enterprises Inc","--","--","--","--","--"
"GLUU","Glu Mobile Inc","--","--","--","--","--"
"GOGO","Gogo Inc","--","--","--","--","--"
"GRVY","Gravity Co Ltd","--","--","--","--","--"
"GSUM","Gridsum Holding Inc","--","--","--","--","--"
"GUID","Guidance Software Inc","--","--","--","--","--"
"HAUP","Hauppauge Digital Inc","--","--","--","--","--"
"HAWK","Blackhawk Network Holdings Inc.","2","B","9","--","--"
"HDP","Hortonworks Inc","--","--","--","--","--"
"HIVE","Aerohive Networks","3","C","9","--","--"
"HLIT","Harmonic Inc","--","--","--","--","--"
"HMNY","Helios and Matheson Analytics Inc","--","--","--","--","--"
"HOLI","Hollysys Automation Technologies Ltd","--","--","--","--","--"
"HQCL","Hanwha Q Cells Co Ltd","--","--","--","--","--"
"HUBS","HubSpot, Inc.","1","C","9","--","--"
"IAIC","Information Analysis Inc","--","--","--","--","--"
"IDCC","InterDigital Inc","--","--","--","--","--"
"IDSY","ID Systems Inc","--","--","--","--","--"
"IGOI","iGO Inc","--","--","--","--","--"
"III","Information Services Group Inc","--","--","--","--","--"
"IIN","IntriCon Corp","--","--","--","--","--"
"IMI","Intermolecular Inc","--","--","--","--","--"
"IMMR","Immersion Corp","--","--","--","--","--"
"IMPV","Imperva Inc","--","--","--","2","--"
"INAP","Internap Corp","--","--","--","--","--"
"INFN","Infinera Corp","--","--","--","3","--"
"INOD","Innodata Inc","--","--","--","--","--"
"INPHQ","Interphase Corp","--","--","--","--","--"
"INSE","Inspired Entertainment Inc","--","--","--","--","--"
"INSG","Inseego Corp","--","--","--","--","--"
"INST","Instructure Inc","--","--","--","--","--"
"INVE","Identiv Inc","--","--","--","--","--"
"INVN","InvenSense Inc","--","--","--","--","--"
"INVT","Inventergy Global Inc","--","--","--","--","--"
"INVU","Investview Inc","--","--","--","--","--"
"IOTS","Adesto Technologies Corp","--","--","--","--","--"
"IPAS","iPass Inc","--","--","--","--","--"
"IPDN","Professional Diversity Network Inc","--","--","--","--","--"
"JASO","JA Solar Holdings Co Ltd","--","--","--","--","3"
"JCS","Communications Systems Inc","--","--","--","--","--"
"JIVE","Jive Software Inc","--","--","--","--","--"
"JKS","JinkoSolar Holding Co Ltd","--","--","--","--","--"
"JMU","JMU Ltd","--","--","--","--","--"
"JTPY","JetPay Corp","--","--","--","--","--"
"KEM","KEMET Corp","--","--","--","--","3"
"KN","Knowles Corp","--","--","--","--","--"
"KONE","Kingtone Wirelessinfo Solution Holding Ltd","--","--","--","--","--"
"KOPN","Kopin Corp","--","--","--","--","--"
"KTCC","Key Tronic Corp","--","--","--","--","--"
"KVHI","KVH Industries Inc","--","--","--","--","--"
"LDKYQ","LDK Solar Co Ltd","--","--","--","--","--"
"LEJU","Leju","2","C","9","--","--"
"LFGR","Leaf Group Ltd","--","--","--","--","--"
"LLNW","Limelight Networks Inc","--","--","--","--","--"
"LOCMQ","Local Corp","--","--","--","--","--"
"LPSN","LivePerson Inc","--","--","--","--","--"
"LQDT","Liquidity Services Inc","--","--","--","--","--"
"LRAD","LRAD Corp","--","--","--","--","--"
"LSCC","Lattice Semiconductor Corp","--","--","--","--","3"
"LTRX","Lantronix Inc","--","--","--","--","--"
"LUNA","Luna Innovations Inc","--","--","--","--","--"
"MARK","Remark Holdings Inc","--","--","--","--","--"
"MATR","Mattersight Corp","--","--","--","--","--"
"MB","Mindbody Inc","--","--","--","--","--"
"MCHX","Marchex Inc","--","--","--","--","--"
"MJCO","Majesco","--","--","--","--","--"
"MLNK","ModusLink Global Solutions Inc","--","--","--","--","--"
"MOBL","MobileIron Inc","--","--","--","--","--"
"MODN","Model N Inc","--","--","--","--","--"
"MOSY","MoSys Inc","--","--","--","--","--"
"MRAM","Everspin Technologies Inc","--","--","--","--","--"
"MRIN","Marin Software Inc","--","--","--","--","--"
"MSDI","Monster Digital Inc","--","--","--","--","--"
"MTLS","Materialise NV","--","--","--","--","--"
"MTSI","M/A-Com","2","B","9","--","--"
"MTWO","M2 Ngage Group Inc","--","--","--","--","--"
"MULE","MuleSoft Inc","2","C","9","--","--"
"MVIS","MicroVision Inc","--","--","--","--","--"
"MX","MagnaChip Semiconductor Corp","--","--","--","--","--"
"MXPT","MaxPoint Interactive Inc","--","--","--","--","--"
"MXWL","Maxwell Technologies Inc","--","--","--","--","--"
"NAME","Rightside Group Ltd","--","--","--","--","--"
"NCTY","The9 Ltd","--","--","--","--","--"
"NEON","Neonode Inc","--","--","--","--","--"
"NETE","Net Element Inc","--","--","--","--","--"
"NEWR","New Relic Inc","--","--","--","--","--"
"NLST","Netlist Inc","--","--","--","--","--"
"NMRX","Numerex Corp","--","--","--","--","--"
"NPTN","NeoPhotonics Corp","--","--","--","--","--"
"NQ","NQ Mobile Inc","--","--","--","--","--"
"NSR","Neustar Inc","--","--","--","--","3"
"NTNX","Nutanix Inc","1","C","9","--","--"
"NUAN","Nuance Communications Inc","--","--","--","--","--"
"NXES","Nexus Enterprise Solutions Inc","--","--","--","--","--"
"OCC","Optical Cable Corp","--","--","--","--","--"
"OCLR","Oclaro Inc","--","--","--","--","--"
"OIIM","O2micro International Ltd","--","--","--","--","--"
"OKTA","Okta Inc","--","--","--","--","--"
"ONSM","Onstream Media Corp","--","--","--","--","--"
"ONVI","Onvia Inc","--","--","--","--","--"
"P","Pandora Media, Inc.","3","C","9","--","4"
"PAY","Verifone Systems Inc","--","--","--","2","--"
"PCMI","PCM Inc","--","--","--","--","--"
"PCTI","PCTEL Inc","--","--","--","--","--"
"PCTY","Paylocity Corp.","1","C","9","--","--"
"PFPT","Proofpoint Inc","--","--","--","--","--"
"PFSW","PFSweb Inc","--","--","--","--","--"
"PI","Impinj Inc","--","--","--","--","--"
"PLPM","Planet Payment Inc","--","--","--","--","--"
"PRCP","Perceptron Inc","--","--","--","--","--"
"PRGS","Progress Software Corp","--","--","--","--","--"
"PRGX","PRGX Global Inc","--","--","--","--","--"
"PRKR","ParkerVision Inc","--","--","--","--","--"
"PRO","PROS Holdings Inc","--","--","--","--","--"
"PSDO","Presidio Inc","--","--","--","--","--"
"PSTG","Pure Storage","1","C","9","--","--"
"QADB","QAD Inc","--","--","--","--","--"
"QBAK","Qualstar Corp","--","--","--","--","--"
"QNST","Quinstreet Inc","--","--","--","--","--"
"QTM","Quantum Corp","--","--","--","--","--"
"QTWO","Q2 Holdings Inc","--","--","--","--","--"
"QUIK","QuickLogic Corp","--","--","--","--","--"
"QUMU","Qumu Corp","--","--","--","--","--"
"QUOT","Quotient Technology Inc","1","C","9","--","--"
"RATE","Bankrate","1","C","9","--","--"
"RBCN","Rubicon Technology Inc","--","--","--","--","--"
"REDFY","Rediff.com India Ltd","--","--","--","--","--"
"REFR","Research Frontiers Inc","--","--","--","--","--"
"RELL","Richardson Electronics Ltd","--","--","--","--","--"
"RESN","Resonant Inc","--","--","--","--","--"
"RFIL","RF Industries Ltd","--","--","--","--","--"
"RMGN","RMG Networks Holding Corp","--","--","--","--","--"
"RNG","RNG","1","C","9","--","--"
"RNWK","RealNetworks Inc","--","--","--","--","--"
"RPD","Rapid7 Inc","--","--","--","--","--"
"RST","Rosetta Stone Inc","--","--","--","--","--"
"RSYS","Radisys Corp","--","--","--","--","--"
"RUBI","Rubicon Project Inc","--","--","--","--","--"
"SALE","RetailMeNot Inc","--","--","--","--","--"
"SANM","Sanmina","--","--","--","--","3"
"SCKT","Socket Mobile Inc","--","--","--","--","--"
"SCON","Superconductor Technologies Inc","--","--","--","--","--"
"SCOR","Comscore Inc","--","--","--","--","--"
"SCWX","SecureWorks","3","C","9","--","--"
"SEAC","SeaChange International Inc","--","--","--","--","--"
"SFUN","Soufun Holdings Ltd-ADR","1","B","8","--","--"
"SHOR","Shoretel Inc","--","--","--","--","--"
"SIGM","Sigma Designs Inc","--","--","--","--","--"
"SIMO","Silicon Motion Technology Corporation","3","C","8","--","--"
"SMIT","Schmitt Industries Inc","--","--","--","--","--"
"SMSI","Smith Micro Software Inc","--","--","--","--","--"
"SMTX","SMTC Corp","--","--","--","--","--"
"SOL","ReneSola Ltd","--","--","--","--","--"
"SONS","Sonus Networks Inc","--","--","--","--","3"
"SPDC","Speed Commerce Inc","--","--","--","--","--"
"SPWR","SunPower Corp. - Class A","2","C","9","3","3"
"SQNS","Sequans Communications SA","--","--","--","--","--"
"SREV","ServiceSource International Inc","--","--","--","--","--"
"SSNI","Silver Spring Networks Inc","--","--","--","--","--"
"SSYS","Stratasys Ltd.","3","C","9","3","3"
"STRI","STR Holdings Inc","--","--","--","--","--"
"SUNEQ","SunEdison Inc","--","--","--","--","--"
"SYNC","Synacor Inc","--","--","--","--","--"
"SYNT","Syntel Inc","--","--","--","--","--"
"SYX","Systemax Inc","--","--","--","--","--"
"TAIT","Taitron Components Inc","--","--","--","--","--"
"TCCO","Technical Communications Corp","--","--","--","--","--"
"TIGR","TigerLogic Corp","--","--","--","--","--"
"TNAV","Telenav Inc","--","--","--","--","--"
"TNGO","Tangoe Inc","--","--","--","--","--"
"TRMR","Tremor Video Inc","--","--","--","--","--"
"TRUE","TrueCar Inc","--","--","--","--","--"
"TRVG","Trivago","1","C","9","--","--"
"TTD","Trade Desk Inc","--","--","--","--","--"
"TWLO","Twilio Inc","--","--","--","3","--"
"TWOU","2U Inc","--","--","--","--","--"
"UCTT","Ultra Clean Holdings Inc","--","--","--","--","--"
"UIS","Unisys Corp","--","--","--","--","--"
"UNXL","Uni-Pixel Inc","--","--","--","--","--"
"UPLD","Upland Software Inc","--","--","--","--","--"
"USAT","USA Technologies Inc","--","--","--","--","--"
"VECO","Veeco Instruments","1","C","9","--","3"
"VIDE","Video Display Corp","--","--","--","--","--"
"VNET","21Vianet Group Inc","--","--","--","--","--"
"VRNS","Varonis Systems Inc","--","--","--","--","--"
"VRNT","Verint Systems Inc","--","--","--","3","--"
"WK","Workiva Inc","--","--","--","--","--"
"WPCS","WPCS International Inc","--","--","--","--","--"
"WSTL","Westell Technologies Inc","--","--","--","--","--"
"XCOMQ","Xtera Communications Inc","--","--","--","--","--"
"XGTI","xG Technology Inc","--","--","--","--","--"
"XNET","Xunlei Ltd","--","--","--","--","--"
"XTLY","Xactly Corp","--","--","--","--","--"
"YELP","Yelp","2","C","9","--","--"
"YEXT","Yext Inc","--","--","--","--","--"
"YGE","Yingli Green Energy Holding Co Ltd","--","--","--","--","--"
"YRD","Yirendai Ltd","--","--","--","--","--"
"YUME","YuMe Inc","--","--","--","--","--"
"YY","YY","1","C","7","--","--"
"ZBRA","Zebra Technologies Corp","--","--","--","3","3"
"ZEN","Zendesk, Inc.","1","C","9","--","--"
"ZG","Zillow","1","C","9","--","--"
"ZNGA","ZYNGA","2","C","9","--","--"
